cost;time;% error;1776
2082;106;17%;1776
2060;83;15%;1776
2148;100;20%;1776
2119;101;19%;1776
1999;88;12%;1776
2009;72;13%;1776
2085;56;17%;1776
2043;71;15%;1776
2047;105;15%;1776
1999;80;12%;1776
path of best solution
44->15->16->45->39->21->40->20->18->13->34->35->14->23->12->32->7->31->30->5->9->33->27->28->2->41->43->42->22->47->26->37->38->0->25->1->10->6->24->4->29->3->8->11->17->46->36->19->44
