cost;time;% error;2755
3696;178;34%;2755
3701;150;34%;2755
3705;203;34%;2755
3942;134;43%;2755
3613;203;31%;2755
3865;156;40%;2755
3791;195;37%;2755
3667;177;33%;2755
3992;213;44%;2755
3819;237;38%;2755
path of best solution
14->13->17->18->19->20->22->23->24->26->27->28->29->30->31->35->34->156->40->39->38->37->75->11->10->76->74->12->158->36->157->33->155->41->42->45->44->46->47->48->51->52->53->43->55->54->58->59->60->50->49->170->73->77->1->2->0->81->80->79->82->78->72->71->61->68->67->167->70->87->85->86->83->84->69->66->63->64->56->57->62->65->88->153->154->89->90->91->94->96->97->99->98->95->92->93->166->108->107->106->105->165->163->100->102->103->117->118->119->120->121->122->123->162->101->104->114->109->113->164->127->126->125->136->129->128->130->131->132->133->134->141->6->7->8->9->4->5->169->111->110->115->116->124->137->138->135->139->140->142->152->151->160->150->25->149->148->144->143->147->161->15->159->16->21->32->168->3->112->146->145->14
