cost;time;% error;1776
2057;79;15%;1776
2142;78;20%;1776
2052;35;15%;1776
2024;85;13%;1776
2107;77;18%;1776
2008;48;13%;1776
2471;56;39%;1776
2098;107;18%;1776
2077;112;16%;1776
2191;66;23%;1776
path of best solution
34->13->46->36->14->16->45->19->44->15->17->12->32->6->11->8->9->33->27->28->2->41->43->22->40->47->26->42->1->0->25->10->3->24->4->29->30->5->31->7->23->35->39->21->20->37->38->18->34
