cost;time;% error;2755
3762;241;36%;2755
3812;158;38%;2755
3821;239;38%;2755
3718;139;34%;2755
3486;173;26%;2755
3869;142;40%;2755
3729;237;35%;2755
3625;145;31%;2755
3909;197;41%;2755
3677;212;33%;2755
path of best solution
144->143->141->134->131->113->164->127->126->125->124->121->120->122->123->162->102->103->117->118->119->129->128->130->135->138->139->140->6->7->8->9->10->76->74->75->11->12->18->19->20->21->22->23->26->27->28->29->30->33->35->34->156->40->39->38->37->49->170->73->77->1->2->0->81->80->79->82->78->72->71->60->50->51->52->53->43->55->54->58->59->61->68->67->167->70->87->85->86->83->84->69->66->63->64->56->57->62->65->88->153->154->89->90->91->94->96->97->99->98->95->92->93->166->108->107->106->105->165->163->100->101->104->110->109->114->115->116->136->137->147->148->149->161->152->151->14->13->31->32->158->36->157->41->155->42->45->44->46->47->48->168->3->4->5->133->169->111->112->132->142->160->150->25->24->15->159->16->17->146->145->144
