cost;time;% error;2465
2627;284;6%;2465
2581;345;4%;2465
2583;349;4%;2465
2568;133;4%;2465
2610;326;5%;2465
2561;156;3%;2465
2581;316;4%;2465
2568;266;4%;2465
2589;259;5%;2465
2581;267;4%;2465
path of best solution
259->23->14->62->13->205->204->24->36->32->274->46->33->376->68->38->270->19->18->402->287->83->43->34->295->142->308->394->225->58->8->6->163->3->2->61->107->386->47->112->100->98->123->396->293->218->9->84->272->28->153->75->217->145->211->152->310->29->77->31->52->40->39->78->226->147->79->69->245->81->22->21->50->160->15->333->267->281->82->247->249->172->26->208->159->20->141->116->166->67->66->60->44->88->96->94->90->72->57->64->365->239->117->92->51->49->37->54->301->120->392->351->350->221->300->352->307->143->373->133->269->360->353->263->364->303->71->242->70->349->73->99->389->187->190->131->355->115->114->136->253->262->261->122->119->168->103->213->356->328->317->104->203->384->383->361->146->144->105->391->154->155->7->65->374->363->289->108->256->318->109->275->210->265->326->258->91->286->74->214->192->189->162->48->358->327->241->330->290->125->273->42->157->1->216->200->198->183->17->12->234->228->224->240->219->322->357->264->113->370->193->285->282->257->132->243->298->291->315->161->148->325->134->306->305->215->309->135->280->279->236->227->320->137->362->254->223->319->345->173->344->397->5->56->238->229->393->149->347->401->354->342->266->150->304->260->171->63->297->158->284->329->294->178->138->337->232->176->156->390->367->76->110->313->378->398->233->324->381->95->55->97->126->271->395->182->130->246->302->118->87->230->382->212->174->185->332->296->186->53->86->11->340->170->334->335->385->199->175->167->336->321->379->268->16->140->252->371->129->255->180->359->237->184->4->244->80->181->346->338->202->207->45->387->196->0->177->209->41->169->27->220->197->93->366->292->343->222->250->316->251->194->380->111->369->231->288->128->164->25->248->348->179->368->314->59->235->121->102->375->191->139->206->30->201->89->195->188->299->106->165->311->10->331->323->400->124->339->312->35->151->101->127->399->377->372->278->283->277->341->388->85->276->259
