cost;time;% error;2465
2607;307;5%;2465
2607;263;5%;2465
2613;302;6%;2465
2602;328;5%;2465
2599;108;5%;2465
2577;193;4%;2465
2616;164;6%;2465
2588;168;4%;2465
2622;336;6%;2465
2608;304;5%;2465
path of best solution
91->253->241->23->14->62->13->205->204->24->36->32->274->46->33->376->68->38->270->19->18->402->287->83->43->34->295->231->308->394->225->58->8->6->164->3->2->61->107->386->47->112->322->257->304->5->312->35->218->84->140->207->45->373->184->314->59->142->262->261->77->31->52->40->39->78->226->147->79->69->245->81->22->21->82->256->249->106->359->182->153->75->157->339->333->267->281->385->67->66->60->44->88->96->338->90->72->57->163->25->232->92->51->49->37->288->247->120->392->351->293->93->145->160->365->335->360->353->263->364->303->71->239->70->349->73->221->300->104->133->131->355->115->114->85->244->80->55->340->301->169->27->316->372->278->122->119->168->137->213->356->328->317->126->387->384->383->203->146->144->105->391->154->111->369->307->143->363->289->108->255->110->109->275->210->265->326->258->254->223->214->192->189->162->48->358->327->336->292->290->125->74->216->200->198->313->323->305->215->309->283->277->352->234->228->224->240->219->152->310->400->285->282->357->190->100->98->132->243->175->291->315->161->148->325->134->306->319->135->280->279->136->95->271->272->28->284->329->294->227->381->188->173->344->141->116->246->238->229->393->149->347->401->354->342->266->345->299->273->370->127->396->395->177->171->63->337->103->176->156->390->102->151->101->331->378->398->233->380->362->252->371->350->179->368->50->56->361->276->298->397->260->375->191->187->388->195->367->76->341->159->7->170->334->196->0->268->16->236->97->167->54->202->186->53->174->250->172->26->248->348->343->230->382->212->183->17->12->211->235->121->180->165->209->41->217->158->1->178->138->150->9->220->197->332->296->123->399->297->128->194->324->320->86->11->130->237->242->117->99->389->251->113->222->185->42->64->15->208->193->129->286->259->302->118->29->124->269->65->155->20->318->374->377->166->199->311->10->206->30->201->89->366->321->379->139->4->87->181->346->94->264->330->91
